uid;name;span;source;code
"VARIABLE:::CVCUS01Y:::CUST-ADDR-LINE-1";"CUST-ADDR-LINE-1";"494:559";"/CVCUS01Y.cpy";"           05  CUST-ADDR-LINE-1                        PIC X(50)."
"VARIABLE:::CVCUS01Y:::CUST-ADDR-LINE-2";"CUST-ADDR-LINE-2";"560:625";"/CVCUS01Y.cpy";"           05  CUST-ADDR-LINE-2                        PIC X(50)."
"VARIABLE:::CVCUS01Y:::CUST-ADDR-LINE-3";"CUST-ADDR-LINE-3";"626:700";"/CVCUS01Y.cpy";"           05  CUST-ADDR-LINE-3                        PIC X(50).         "
"VARIABLE:::CVCUS01Y:::CUST-ADDR-STATE-CD";"CUST-ADDR-STATE-CD";"701:766";"/CVCUS01Y.cpy";"           05  CUST-ADDR-STATE-CD                      PIC X(02)."
"VARIABLE:::CVCUS01Y:::CUST-ADDR-ZIP";"CUST-ADDR-ZIP";"833:898";"/CVCUS01Y.cpy";"           05  CUST-ADDR-ZIP                           PIC X(10)."
"VARIABLE:::CVCUS01Y:::CUST-DOB-YYYY-MM-DD";"CUST-DOB-YYYY-MM-DD";"1163:1228";"/CVCUS01Y.cpy";"           05  CUST-DOB-YYYY-MM-DD                     PIC X(10)."
"VARIABLE:::CVCUS01Y:::CUST-EFT-ACCOUNT-ID";"CUST-EFT-ACCOUNT-ID";"1229:1294";"/CVCUS01Y.cpy";"           05  CUST-EFT-ACCOUNT-ID                     PIC X(10)."
"VARIABLE:::CVCUS01Y:::CUST-FICO-CREDIT-SCORE";"CUST-FICO-CREDIT-SCORE";"1361:1426";"/CVCUS01Y.cpy";"           05  CUST-FICO-CREDIT-SCORE                  PIC 9(03)."
"VARIABLE:::CVCUS01Y:::CUST-FIRST-NAME";"CUST-FIRST-NAME";"296:361";"/CVCUS01Y.cpy";"           05  CUST-FIRST-NAME                         PIC X(25)."
"VARIABLE:::CVCUS01Y:::CUST-GOVT-ISSUED-ID";"CUST-GOVT-ISSUED-ID";"1097:1162";"/CVCUS01Y.cpy";"           05  CUST-GOVT-ISSUED-ID                     PIC X(20)."
"VARIABLE:::CVCUS01Y:::CUST-ID";"CUST-ID";"230:295";"/CVCUS01Y.cpy";"           05  CUST-ID                                 PIC 9(09)."
"VARIABLE:::CVCUS01Y:::CUST-LAST-NAME";"CUST-LAST-NAME";"428:493";"/CVCUS01Y.cpy";"           05  CUST-LAST-NAME                          PIC X(25)."
"VARIABLE:::CVCUS01Y:::CUST-MIDDLE-NAME";"CUST-MIDDLE-NAME";"362:427";"/CVCUS01Y.cpy";"           05  CUST-MIDDLE-NAME                        PIC X(25)."
"VARIABLE:::CVCUS01Y:::CUST-PHONE-NUM-1";"CUST-PHONE-NUM-1";"899:964";"/CVCUS01Y.cpy";"           05  CUST-PHONE-NUM-1                        PIC X(15)."
"VARIABLE:::CVCUS01Y:::CUST-PHONE-NUM-2";"CUST-PHONE-NUM-2";"965:1030";"/CVCUS01Y.cpy";"           05  CUST-PHONE-NUM-2                        PIC X(15)."
"VARIABLE:::CVCUS01Y:::CUST-PRI-CARD-HOLDER-IND";"CUST-PRI-CARD-HOLDER-IND";"1295:1360";"/CVCUS01Y.cpy";"           05  CUST-PRI-CARD-HOLDER-IND                PIC X(01)."
"VARIABLE:::CVCUS01Y:::CUST-SSN";"CUST-SSN";"1031:1096";"/CVCUS01Y.cpy";"           05  CUST-SSN                                PIC 9(09)."
